name,institution,citation_count,research_interests,scholar_link
Antonio Orvieto,Homepage,"['1026', '1025', '17', '17', '20', '20']","['Deep Learning', 'Machine Learning', 'Optimization', 'Differential Equations', 'Numerical Analysis']",https://scholar.google.com/citations?hl=ja&user=xkuLyHoAAAAJ&hl=en
Aniket Pal,University of Stuttgart,"['1367', '1354', '13', '13', '14', '14']","['Soft Robotics', 'Mechanical Metamaterials', 'Mechanical Instabilities', 'Biosensors']",https://scholar.google.com/citations?hl=ja&user=7ObC1kgAAAAJ&hl=en
Nico Pfeifer,Homepage,"['6651', '4459', '33', '27', '52', '49']","['Biomedical Informatics', 'Computational Biology', 'Statistical Machine Learning', 'Data Science', 'Precision Medicine for Infection Rese']",https://scholar.google.com/citations?hl=ja&user=vXQwphYAAAAJ&hl=en
Gerard Pons-Moll,University of Tübingen,"['21125', '19824', '57', '54', '80', '76']","['Computer Vision', 'Machine Learning', 'Computer Graphics', '4D Modeling', '3D Modelling']",https://scholar.google.com/citations?hl=ja&user=OpXMNnMAAAAJ&hl=en
Michael Pradel,University of Stuttgart,"['6865', '5747', '47', '43', '100', '92']","['Software Engineering', 'Programming Languages']",https://scholar.google.com/citations?hl=ja&user=V-850TAAAAAJ&hl=en
C. David Remy,University of Stuttgart,"['4964', '3322', '38', '31', '74', '64']","['Robotics', 'Mechatronics', 'Locomotion']",https://scholar.google.com/citations?hl=ja&user=tx_oGsMAAAAJ&hl=en
Gunther Richter,Homepage,"['6198', '2986', '36', '23', '67', '43']","['Pädiatrische Onkologie', 'neue Therapieansätze', 'Biologie pädiatr. Sarkome']",https://scholar.google.com/citations?hl=ja&user=97xytiEAAAAJ&hl=en
Kerstin Ritter,Homepage,"['1741', '1414', '18', '18', '29', '26']","['Machine Learning', 'Deep Learning', 'Clinical Neuroscience', 'Neurology', 'Psychiatry']",https://scholar.google.com/citations?hl=ja&user=5cZa3SIAAAAJ&hl=en
Alina Roitberg,University of Stuttgart,"['1468', '1390', '19', '19', '34', '34']","['Deep Learning', 'Human Activity Recognition', 'Multimodal Recognition', 'Assistive Robotics']",https://scholar.google.com/citations?hl=ja&user=UuEFRDoAAAAJ&hl=en
Philipp Rothemund,University of Stuttgart,"['4099', '3405', '22', '22', '26', '26']","['Soft robotics', 'Continuum Mechanics']",https://scholar.google.com/citations?hl=ja&user=O10opkEAAAAJ&hl=en
Samira Samadi,Homepage,"['673', '651', '11', '10', '11', '10']","['Machine Learning', 'Computer Science']",https://scholar.google.com/citations?hl=ja&user=s8xc2K4AAAAJ&hl=en
Dieter Schmalstieg,University of Stuttgart,"['28715', '10390', '86', '51', '345', '221']","['Augmented Reality', 'Virtual Reality', 'Computer Graphics', 'Visualization']",https://scholar.google.com/citations?hl=ja&user=xXu8K6IAAAAJ&hl=en
Syn Schmitt,Not found,Not found,Not found,Not found
Bernhard Schölkopf,No institution listed.,"['242294', '111960', '182', '131', '745', '613']","['Machine Learning', 'Causal Inference', 'Artificial Intelligence', 'Computational Photography', 'Statistics']",https://scholar.google.com/citations?hl=ja&user=DZ-fHPgAAAAJ&hl=en
Sabine Schulte im Walde,University of Stuttgart,"['4529', '2218', '35', '25', '94', '57']",['Computational Linguistics'],https://scholar.google.com/citations?hl=ja&user=kObRYIAAAAAJ&hl=en
Michael Sedlmair,University of Stuttgart,"['7141', '5223', '40', '36', '91', '83']","['Visualization', 'Human-Computer Interaction', 'Augmented Reality', 'Virtual Reality']",https://scholar.google.com/citations?hl=ja&user=objnJXoAAAAJ&hl=en
Thomas Speck,University of Freiburg,"['14626', '7703', '63', '45', '256', '188']","['Biomimetics', 'Plant Biomechanics', 'Functional Morphology', 'Paleobotany', 'Botany']",https://scholar.google.com/citations?hl=ja&user=NMyfnvYAAAAJ&hl=en
Steffen Staab,Universität Stuttgart,"['44486', '9736', '100', '34', '331', '143']","['Artificial Intelligence', 'Knowledge Graphs', 'Simulation Science', 'Intelligent User Interfaces', 'Web Sci']",https://scholar.google.com/citations?hl=ja&user=QvpcUn8AAAAJ&hl=en
Ingo Steinwart,University of Stuttgart,"['11994', '6001', '38', '30', '78', '60']","['Statistical Learning Theory', 'Kernel Methods', 'Cluster Analysis', 'Support Vector Machines', 'Neural Networks']",https://scholar.google.com/citations?hl=ja&user=zFuwHeAAAAAJ&hl=en
Benjamin Unger,Universität Stuttgart,"['615', '597', '14', '14', '17', '17']","['Model Reduction', 'Differential-Algebraic Equations', 'Delay Differential-Algebraic Equations', 'port-Hamiltonian Systems']",https://scholar.google.com/citations?hl=ja&user=eHHT6Q8AAAAJ&hl=en
Alexander Verl,Univ. Stuttgart,"['11458', '6780', '46', '34', '195', '131']","['Control', 'Robotic', 'Machine Tool', 'Manufacturing', 'Automation']",https://scholar.google.com/citations?hl=ja&user=MnlgXS0AAAAJ&hl=en
Claire Vernade,University of Tuebingen,"['910', '868', '15', '15', '16', '16']","['Machine Learning', 'Multi-armed bandit', 'reinforcement learning']",https://scholar.google.com/citations?hl=ja&user=tE2hCaYAAAAJ&hl=en
Ulrike von Luxburg,University of Tübingen,"['20751', '10600', '47', '36', '80', '69']","['Machine learning', 'Statistics']",https://scholar.google.com/citations?hl=ja&user=mMifMdoAAAAJ&hl=en
Daniel  Weiskopf,University of Stuttgart,"['18014', '8092', '69', '45', '292', '184']","['Visualization', 'Visual Analytics', 'Computer Graphics', 'Eye Tracking']",https://scholar.google.com/citations?hl=ja&user=sclEgM4AAAAJ&hl=en
Bob Williamson,University of Tübingen,"['29834', '11923', '56', '32', '123', '63']","['machine learning', 'learning theory', 'imprecise probability', 'risk measures']",https://scholar.google.com/citations?hl=ja&user=G4MBruQAAAAJ&hl=en
Andreas Wortmann,University of Stuttgart,"['3611', '2964', '37', '31', '81', '69']","['Model-Driven Software Engineering', 'Language Engineering', 'Robotics', 'Digital Twins', 'Industry 5.0']",https://scholar.google.com/citations?hl=ja&user=6ImtercAAAAJ&hl=en
Thomas Wortmann,University of Stuttgart,"['1417', '1297', '19', '19', '31', '28']","['AI for Architecture', 'Architectural Design Optimization', 'Computational Design', 'Parametric Design', 'Simulation-based Optimization']",https://scholar.google.com/citations?hl=ja&user=U8QHwHkAAAAJ&hl=en
Charley Wu,University of Waikato,"['3451', '2212', '33', '27', '46', '42']","['Genomics', 'Microbial Ecology', 'Antarctic Terrestrial Ecosystems', 'Enzyme Kinetics']",https://scholar.google.com/citations?hl=ja&user=c5UrMc4AAAAJ&hl=en
